Year,Average Response Time (minutes),Ave Response Time - Priority 0 and 1 (seconds),Priority 0,Priority 1,Priority 2,Priority 3,Priority 4
2010,5.32,319,4.12,6.52,11.29,19.31,35.57
2011,5.31,319,3.78,6.84,11.88,23.16,38.29
2012,5.98,359,4.45,7.51,11.43,22.5,38.77
2013,5.97,358,4.24,7.7,12.48,26.55,43.27
2014,6.15,369,4.67,7.62,13.66,30.39,43.51
2015,6.23,374,4.12,8.33,14.56,33.64,52.4
